id,name,description,is_unique,type_family,tier,power,spawn_rate,duration_multiplier,environment_tags,stat_weight,fixed_region_environments,lore,title
elite_golem_rusty,녹슨 골렘,"오래된 지하 광산에서 살아남은 수호 자동인형. 녹슨 몸체 속에 아직 제작자의 명령이 새겨져 있다. 느리지만 압도적인 완력으로 침입자를 밀어붙인다.",false,golem,2,105,0.15,1.5,"[""ruins"",""underground"",""mountain""]","{""str"":0.4,""vit"":0.4,""int"":0.1,""agi"":0.1}",,,
elite_golem_brass,황동 골렘,"고대 연금술사의 기술로 빚어진 황동빛 자동인형. 산화된 표면 아래 여전히 강력한 원동력이 흐른다. 반복된 충격에도 동작이 멈추지 않는다는 소문이 있다.",false,golem,3,145,0.12,1.6,"[""ruins"",""underground""]","{""str"":0.4,""vit"":0.4,""int"":0.1,""agi"":0.1}",,,
elite_golem_bronze,청동 골렘,"산악 고요한 신전을 지키기 위해 제작된 청동 거상. 수천 년의 세월을 견뎌낸 단단한 몸체를 자랑한다. 공격을 받을수록 분노가 깊어지는 구조로 설계되었다.",false,golem,4,195,0.08,1.8,"[""ruins"",""mountain""]","{""str"":0.4,""vit"":0.4,""int"":0.1,""agi"":0.1}",,,
elite_golem_crystal,수정 골렘,"지하 수정 동굴의 마법 에너지를 흡수해 탄생한 이형의 골렘. 수정 몸체가 마법 공격을 굴절시켜 돌려보낸다. 지성 있는 전술 판단으로 적의 약점을 파악한다.",false,golem,4,195,0.08,1.8,"[""ruins"",""underground""]","{""int"":0.5,""str"":0.3,""vit"":0.1,""agi"":0.1}",,,
elite_orc_warrior,오크 대전사,"전장을 수백 번 살아남은 역전의 오크 전사. 몸 곳곳의 흉터가 그가 겪은 전투의 증거다. 단순하지만 파괴적인 공세로 전선을 무너뜨린다.",false,orc,2,100,0.15,1.5,"[""forest"",""mountain"",""plains""]","{""str"":0.5,""int"":0.3,""vit"":0.1,""agi"":0.1}",,,
elite_orc_shaman,오크 주술사,"부족의 전통 주술을 마스터한 오크 사제. 전투 중에도 저주와 강화 의식을 멈추지 않는다. 주변 오크들의 전투력을 끌어올리는 주문을 시전한다.",false,orc,3,140,0.12,1.6,"[""forest"",""plains""]","{""str"":0.5,""int"":0.3,""vit"":0.1,""agi"":0.1}",,,
elite_orc_chief,오크 족장,"수십 개 부족을 통합한 절대적 지도자. 갑옷보다 무거운 카리스마로 전장을 지배한다. 직접 전투에 참가할 때 부족 전원의 사기가 크게 오른다.",false,orc,4,190,0.08,1.8,"[""mountain"",""plains""]","{""str"":0.5,""int"":0.3,""vit"":0.1,""agi"":0.1}",,,
elite_goblin_raider,고블린 습격자,"무리를 이끌고 상인 행렬을 습격하는 교활한 고블린. 빠른 발과 작은 몸을 이용해 교란전을 펼친다. 혼자보다는 무리로 싸울 때 진가를 발휘한다.",false,goblin,2,90,0.15,1.5,"[""forest"",""underground"",""mountain""]","{""agi"":0.4,""int"":0.3,""str"":0.2,""vit"":0.1}",,,
elite_goblin_shaman,고블린 주술사,"동굴 깊은 곳에서 금지된 주술을 익힌 고블린 술사. 독무와 환각 마법으로 상대를 혼란에 빠뜨린다. 작은 체구에서 나오는 마법 위력이 예상을 뛰어넘는다.",false,goblin,3,130,0.12,1.6,"[""forest"",""underground""]","{""agi"":0.4,""int"":0.3,""str"":0.2,""vit"":0.1}",,,
elite_goblin_hobchief,홉고블린 대장,"일반 고블린의 세 배 크기로 성장한 변이 홉고블린. 산악 요새를 본거지로 삼아 주변 지역을 약탈한다. 잔인한 지략가로 함정과 매복을 즐겨 사용한다.",false,goblin,4,180,0.08,1.8,"[""mountain"",""underground""]","{""agi"":0.4,""int"":0.3,""str"":0.2,""vit"":0.1}",,,
elite_troll_swamp,늪지 트롤,"검은 늪에서 태어난 거체 트롤. 독성 늪물에 오랫동안 잠겨 있어 피부가 굳고 독성을 지니게 되었다. 무거운 몸에서 나오는 충격파가 지면을 흔든다.",false,troll,3,145,0.12,1.6,"[""swamp"",""forest""]","{""vit"":0.4,""str"":0.4,""int"":0.1,""agi"":0.1}",,,
elite_troll_mountain,산악 트롤,"험준한 산악을 주름잡는 거대한 트롤. 수십 년간 바위를 먹으며 몸이 돌처럼 단단해졌다. 위에서 굴러 내려오는 돌진 공격이 가장 위험하다.",false,troll,4,195,0.08,1.8,"[""mountain""]","{""vit"":0.4,""str"":0.4,""int"":0.1,""agi"":0.1}",,,
elite_lizard_swamp,늪지 리자드,"검은 늪지에 서식하는 리자드맨 전사. 미끄러운 비늘이 공격을 흘려내고 긴 꼬리로 상대를 쓸어버린다. 물속에 은신했다가 기습하는 전술을 즐긴다.",false,lizardman,2,100,0.15,1.5,"[""swamp""]","{""agi"":0.4,""str"":0.3,""vit"":0.2,""int"":0.1}",,,
elite_lizard_desert,모래도마뱀 전사,"사막 열기를 에너지로 삼는 리자드맨 엘리트. 뜨거운 모래 위를 빠르게 달리며 창으로 공격한다. 낮의 강렬한 햇빛 속에서 전투력이 절정에 달한다.",false,lizardman,3,140,0.12,1.6,"[""desert""]","{""agi"":0.4,""str"":0.3,""vit"":0.2,""int"":0.1}",,,
elite_lizard_coast,바다뱀 사령관,"해안 일대를 지배하는 해양 리자드맨 지휘관. 바다뱀을 길들여 부하로 삼으며 독성 창으로 공격한다. 물과 육지 양쪽에서 자유롭게 전투를 펼친다.",false,lizardman,4,190,0.08,1.8,"[""coast""]","{""agi"":0.4,""str"":0.3,""vit"":0.2,""int"":0.1}",,,
elite_undead_skeleton,방랑 스켈레톤,"전장을 헤매는 잊혀진 전사의 유골. 오래된 무기를 여전히 쥔 채 침입자를 공격한다. 죽음의 공포를 모르기에 후퇴를 모른다.",false,undead,2,90,0.15,1.5,"[""ruins"",""plains""]","{""int"":0.4,""agi"":0.3,""str"":0.2,""vit"":0.1}",,,
elite_undead_bonemage,뼈 주술사,"뼈를 재료로 삼는 죽음의 마법사. 주변 해골들을 수하로 불러들이며 저주를 뿌린다. 광활한 폐허와 늪지에서 이미 죽은 것들을 지배한다.",false,undead,3,130,0.12,1.6,"[""ruins"",""swamp""]","{""int"":0.4,""agi"":0.3,""str"":0.2,""vit"":0.1}",,,
elite_undead_ghoul,굶주린 구울,"살점을 향한 끝없는 굶주림에 사로잡힌 시체 괴물. 지하와 늪지의 어둠 속을 빠르게 이동한다. 무리를 이루어 공격할 때 가장 위험하다.",false,undead,3,130,0.12,1.6,"[""swamp"",""underground""]","{""int"":0.4,""agi"":0.3,""str"":0.2,""vit"":0.1}",,,
elite_undead_knight,망령 기사,"폐허 속에 잠든 고귀한 기사의 망령. 생전의 갑옷과 검을 그대로 지니고 침입자를 처형하려 한다. 강렬한 원한이 육신의 한계를 넘어서는 힘을 부여한다.",false,undead,4,180,0.08,1.8,"[""ruins""]","{""int"":0.4,""agi"":0.3,""str"":0.2,""vit"":0.1}",,,
elite_elemental_fire,화염 정령,"사막 깊은 곳과 고대 화로에서 소환된 원소 존재. 불꽃을 몸으로 삼아 닿는 것을 모두 태운다. 분노할수록 열기가 강해지며 주변 지형에 불을 퍼뜨린다.",false,elemental,3,125,0.12,1.6,"[""desert"",""ruins""]","{""int"":0.6,""str"":0.2,""vit"":0.1,""agi"":0.1}",,,
elite_elemental_water,물의 정령,"해안의 파도와 늪지의 고인 물에서 깨어난 정령. 액체 몸체로 물리 공격을 흘려내며 적의 움직임을 늦춘다. 차갑고 깊은 곳에서 강력한 물의 기둥을 내뿜는다.",false,elemental,3,125,0.12,1.6,"[""coast"",""swamp""]","{""int"":0.6,""agi"":0.2,""vit"":0.1,""str"":0.1}",,,
elite_elemental_earth,대지의 정령,"산과 지하의 지맥에서 응집한 흙과 바위의 화신. 발걸음마다 지진이 일어나며 땅 속에서 솟아오르는 바위 덩어리로 공격한다. 불과 번개에 강하게 저항한다.",false,elemental,3,125,0.12,1.6,"[""mountain"",""underground""]","{""int"":0.6,""vit"":0.2,""str"":0.1,""agi"":0.1}",,,
elite_elemental_wind,바람 정령,"높은 산악과 광활한 평원에서 불어오는 폭풍의 화신. 보이지 않는 칼날로 공격하며 적의 대형을 흩뜨린다. 이동 속도가 극히 빨라 잡기 어렵다.",false,elemental,4,175,0.08,1.8,"[""mountain"",""plains""]","{""int"":0.6,""agi"":0.2,""vit"":0.1,""str"":0.1}",,,
elite_beast_wolf,서리 늑대,"북부 숲과 산악에 서식하는 대형 회색 늑대. 서리처럼 차가운 숨결로 적의 발을 얼린다. 무리의 선봉에 서 적을 교란한다.",false,beast,2,95,0.15,1.5,"[""forest"",""mountain""]","{""str"":0.4,""agi"":0.4,""vit"":0.1,""int"":0.1}",,,
elite_beast_bear,거대 곰,"원시림 깊은 곳을 지배하는 거대한 불곰. 거친 발톱으로 나무를 박살 내며 영역을 표시한다. 새끼를 위협받으면 광포한 분노로 전투력이 두 배가 된다.",false,beast,3,135,0.12,1.6,"[""forest"",""plains""]","{""str"":0.4,""agi"":0.4,""vit"":0.1,""int"":0.1}",,,
elite_beast_tiger,검치호,"깊은 숲과 험준한 산악에 도사리는 거대 검치호랑이. 먹이를 향해 순식간에 달려드는 속도가 압도적이다. 일격에 치명상을 노리는 은밀한 사냥꾼이다.",false,beast,4,185,0.08,1.8,"[""forest"",""mountain""]","{""str"":0.4,""agi"":0.4,""vit"":0.1,""int"":0.1}",,,
elite_insect_spider,거대 독거미,"숲 속 나무와 지하 동굴에 거대한 거미줄을 치는 독거미. 독성 실로 상대를 묶어 움직임을 봉쇄한다. 날카로운 독니로 마비 독을 주입한다.",false,insect,2,90,0.15,1.5,"[""forest"",""underground""]","{""agi"":0.4,""int"":0.3,""vit"":0.2,""str"":0.1}",,,
elite_insect_beetle,뿔벌레 전사,"늪지와 지하 동굴을 서식지로 삼는 거대 뿔벌레. 단단한 뿔 갑옷이 대부분의 물리 공격을 막아낸다. 뿔을 이용한 돌진 공격이 방어진을 무너뜨린다.",false,insect,3,130,0.12,1.6,"[""swamp"",""underground""]","{""agi"":0.4,""int"":0.3,""vit"":0.2,""str"":0.1}",,,
elite_insect_scorpion,여왕 전갈,"사막 지하 깊숙이 서식하는 거대 전갈의 여왕. 꼬리의 독침에 담긴 독이 극도로 강력하다. 모래 속에 숨어 있다가 불시에 공격한다.",false,insect,4,180,0.08,1.8,"[""desert"",""underground""]","{""agi"":0.4,""int"":0.3,""vit"":0.2,""str"":0.1}",,,
