id,region_id,knowledge_threshold,discovery_type,discovery_data,description
rdsc_m7_r31_wildflower,31,20,normal,"{""items"":[{""item_id"":""mat_herb_wildflower"",""quantity"":2,""drop_rate"":0.7}]}","들풀 무리에서 옅은 향이 나는 들꽃을 발견했다. 약초상이 반길 만하다."
rdsc_m7_r31_bandit_strap,31,45,normal,"{""items"":[{""item_id"":""mat_hide_dry_strap"",""quantity"":2,""drop_rate"":0.6}]}","길가 모닥불 자리에서 흩어진 가죽끈을 줍었다. 도적이 남긴 것이리라."
rdsc_m7_r127_seaweed,127,40,normal,"{""items"":[{""item_id"":""mat_herb_seaweed"",""quantity"":2,""drop_rate"":0.6}]}","절벽 바위 사이에 검푸른 해초가 자란다. 짠 향이 코끝을 찌른다."
rdsc_m7_r127_nomad_strap,127,55,normal,"{""items"":[{""item_id"":""mat_hide_nomad_strap"",""quantity"":1,""drop_rate"":0.5}]}","유목민이 무두질한 가죽끈이 천막 밖에 걸려 있다."
rdsc_m7_r127_foreign_rumor,127,80,info,{},"외래 상인이 거대한 깃발 아래 모인 무리를 본 적이 있다고 말한다."
rdsc_m7_r9_hide_glade,9,25,normal,"{""items"":[{""item_id"":""mat_hide_dry_strap"",""quantity"":2,""drop_rate"":0.8}]}","이끼 낀 그루터기 주변에 동물 가죽이 군데군데 흩어져 있다."
rdsc_m7_r9_beast_track,9,50,normal,"{""items"":[{""item_id"":""mat_monster_beast_fang"",""quantity"":1,""drop_rate"":0.3}]}","한 발에 어른 키만 한 발자국이 진흙에 깊게 패여 있다."
rdsc_m7_r9_beast_howl,9,15,info,{},"달밤이면 북쪽 능선에서 들리는 낮고 깊은 울음. 평범한 짐승이 아니다."
rdsc_m7_r10_wind_herb,10,35,normal,"{""items"":[{""item_id"":""mat_herb_wind"",""quantity"":2,""drop_rate"":0.5}]}","바람이 가장 잘 닿는 능선 풀밭에서 잎이 끊임없이 떨리는 약초를 찾았다."
rdsc_m7_r10_swordsman_trace,10,20,info,{},"풍신 숲 한가운데 잘려나간 나무들이 정렬되어 있다. 검술의 자취."
rdsc_m7_r146_poison_grove,146,40,normal,"{""items"":[{""item_id"":""mat_herb_poison"",""quantity"":1,""drop_rate"":0.4}]}","안개 짙은 물웅덩이 가장자리에 검은 잎의 약초가 군락을 이룬다."
rdsc_m7_r146_swamp_seal,146,65,normal,"{""items"":[{""item_id"":""mat_relic_swamp_seal"",""quantity"":1,""drop_rate"":0.5}]}","늪 깊은 곳에서 옛 인장의 조각이 떠올랐다. 알 수 없는 문양."
rdsc_m7_r146_mist_omen,146,85,hidden_quest,"{""chain_id"":""chain_m7_mist_clearing"",""start_step"":1,""protagonist_hint"":null}","회색 늪지 안개가 평소보다 짙다. 무언가 깨어나고 있다."
rdsc_m7_r38_polished_scrap,38,55,normal,"{""items"":[{""item_id"":""mat_ore_polished_scrap"",""quantity"":2,""drop_rate"":0.6}]}","도굴꾼이 버려둔 채굴 도구 사이에서 연마된 쇳조각을 발견했다."
rdsc_m7_r38_burnt_seal,38,80,normal,"{""items"":[{""item_id"":""mat_relic_burnt_seal"",""quantity"":1,""drop_rate"":0.4}]}","잿더미 깊숙이 검게 그을린 인장 조각이 묻혀 있다. 옛 서약의 흔적."
