id,region_id,knowledge_threshold,discovery_type,discovery_data,description
rdsc_transform_12_village,12,98,transform,"{""transform_type"":""village"",""sector_index"":4,""transformed_name"":""개척 마을"",""narrative_template"":""{region.name}에 변화의 기운이 감돌았다. 용병단의 흔적을 따라 개척민들이 정착했다. {merc.name}이 그 첫 손님을 맞이한다.""}",이 지역에 깊은 변화의 기운이 감돈다
rdsc_transform_99_village,99,98,transform,"{""transform_type"":""village"",""sector_index"":7,""transformed_name"":""어촌 정착지"",""narrative_template"":""{region.name}의 버려진 항구에 어부들이 돌아왔다. {merc.name}은 새 돛의 색을 한참 바라봤다.""}",바다 너머에서 새로운 삶이 돌아온다
rdsc_transform_14_village,14,98,transform,"{""transform_type"":""village"",""sector_index"":5,""transformed_name"":""대상 중계지"",""narrative_template"":""{region.name}의 대상로 중간 기착지로 마을이 들어섰다. {merc.name}이 첫 장날을 본다.""}",대상들의 발길이 돌을 깎아 길을 낸다
rdsc_transform_9_village,9,98,transform,"{""transform_type"":""village"",""sector_index"":3,""transformed_name"":""목재상 마을"",""narrative_template"":""{region.name}의 숲 입구에 목재상들이 모여 들어섰다. {merc.name}은 톱질 소리 속을 걸었다.""}",숲 언저리에 사람의 숨결이 고인다
rdsc_transform_110_village,110,98,transform,"{""transform_type"":""village"",""sector_index"":8,""transformed_name"":""국경 항구"",""narrative_template"":""{region.name}의 해안 요새가 중립 항구로 재건되었다. {merc.name}은 교섭 깃발을 올리는 모습을 지켜봤다.""}",성벽이 다시 배를 맞이한다
rdsc_transform_19_village,19,98,transform,"{""transform_type"":""village"",""sector_index"":3,""transformed_name"":""재건 정착지"",""narrative_template"":""{region.name}의 무너진 성벽 안에 사람들이 다시 돌아왔다. {merc.name}은 낡은 집 문턱에 앉아본다.""}",돌무더기 사이에서 연기가 오른다
rdsc_transform_20_ruins,20,98,transform,"{""transform_type"":""ruins"",""sector_index"":1,""transformed_name"":""잊힌 사당"",""narrative_template"":""{region.name}의 안개가 걷히자 숲 속에 사당이 모습을 드러냈다. {merc.name}은 입구의 무늬를 한참 바라봤다.""}",숲이 오래 감추어 온 것을 내어준다
rdsc_transform_26_ruins,26,98,transform,"{""transform_type"":""ruins"",""sector_index"":0,""transformed_name"":""깨어난 성채"",""narrative_template"":""{region.name}의 오랜 폐허에서 기계 장치가 다시 돌아가기 시작했다. {merc.name}은 낮은 진동을 발끝으로 느꼈다.""}",돌벽 너머에서 무언가가 숨을 들이쉰다
rdsc_transform_13_ruins,13,98,transform,"{""transform_type"":""ruins"",""sector_index"":2,""transformed_name"":""고대 동굴 도시"",""narrative_template"":""{region.name}의 산 속에 잠자던 지하 도시 입구가 열렸다. {merc.name}은 등불을 들고 첫 걸음을 내디뎠다.""}",산이 오래 숨긴 길을 내어준다
rdsc_transform_17_ruins,17,98,transform,"{""transform_type"":""ruins"",""sector_index"":0,""transformed_name"":""부활한 유적"",""narrative_template"":""{region.name}의 심층에서 아직 살아 움직이는 것들이 깨어났다. {merc.name}은 검 자루를 고쳐 쥐었다.""}",깊은 곳에서 먼 울림이 올라온다
rdsc_transform_4_ruins,4,98,transform,"{""transform_type"":""ruins"",""sector_index"":9,""transformed_name"":""금단의 성좌"",""narrative_template"":""{region.name}의 고대 제단이 붉게 달아올랐다. {merc.name}은 그 빛을 정면으로 보지 않았다.""}",산맥 너머의 하늘이 붉게 흔들린다
rdsc_transform_7_ruins,7,98,transform,"{""transform_type"":""ruins"",""sector_index"":0,""transformed_name"":""심연의 제단"",""narrative_template"":""{region.name}의 지하 심층 제단이 제 주인을 기다린다. {merc.name}은 발소리를 낮췄다.""}",심연이 오래 닫혔던 문을 연다
rdsc_transform_146_hidden,146,98,transform,"{""transform_type"":""hidden"",""sector_index"":6,""transformed_name"":""안개의 길"",""narrative_template"":""{region.name}의 늪 속에 숨겨진 오솔길이 조사 끝에 모습을 드러냈다. {merc.name}은 풀잎의 방향을 세 번 확인했다.""}",안개 속에 또 다른 길이 열린다
rdsc_transform_23_hidden,23,98,transform,"{""transform_type"":""hidden"",""sector_index"":7,""transformed_name"":""은둔자의 오두막"",""narrative_template"":""{region.name}의 숲 깊은 곳에 은둔한 현자의 오두막이 발견되었다. {merc.name}은 문을 두드리기 전에 한 번 심호흡했다.""}",잎사귀가 반쯤 가린 창가에 불빛이 있다
rdsc_transform_32_hidden,32,98,transform,"{""transform_type"":""hidden"",""sector_index"":5,""transformed_name"":""비밀 지하실"",""narrative_template"":""{region.name}의 폐허 바닥 밑에 또다른 공간이 있었다. {merc.name}이 조심스레 등불을 들었다.""}",돌판 아래에서 공기가 다르게 움직인다
rdsc_transform_2_hidden,2,98,transform,"{""transform_type"":""hidden"",""sector_index"":6,""transformed_name"":""사라진 오아시스"",""narrative_template"":""{region.name}의 지도에 없던 오아시스가 모래 바람 끝에 나타났다. {merc.name}은 물가에 무릎을 꿇었다.""}",모래 너머에 오래전 잃어버린 것이 있다
rdsc_transform_102_hidden,102,98,transform,"{""transform_type"":""hidden"",""sector_index"":8,""transformed_name"":""망각의 서고"",""narrative_template"":""{region.name}의 유적 한쪽 벽 너머에 잊힌 서고가 있었다. {merc.name}은 책등의 문양을 눈으로 좇았다.""}",먼지 쌓인 종이에서 옛 냄새가 난다
rdsc_transform_18_hidden,18,98,transform,"{""transform_type"":""hidden"",""sector_index"":5,""transformed_name"":""별이 떨어진 자리"",""narrative_template"":""{region.name}의 산정에서 하늘에서 떨어진 조각이 발견되었다. {merc.name}은 차가운 금속에 손끝을 대봤다.""}",돌 위에 오래된 빛이 얹혀 있다
rdsc_chain_31_roadside_shrine,31,60,hidden_quest,"{""chain_id"":""chain_roadside_shrine"",""start_step"":1,""protagonist_hint"":null}",길가에서 오래된 문양이 당신을 부른다
rdsc_chain_10_windrunner_trail,10,70,hidden_quest,"{""chain_id"":""chain_windrunner_trail"",""start_step"":1,""protagonist_hint"":null}",바람이 남긴 발자국이 길을 가리킨다
