id,group,scope,faction_id,quest_type,result_type,line_type,importance,weight,template,tags_json
crt_m8a_common_explore_great_01,common,quest_type,,explore,great_success,summary,normal,100,{merc.name}은 {region.name}의 흔적을 빠르게 묶어냈고 의뢰 기록은 손실 없이 닫혔다.,"{""tone"":""clean"",""role"":""protagonist""}"
crt_m8a_common_explore_success_01,common,quest_type,,explore,success,summary,normal,100,탐색은 오래 걸렸지만 {quest.name}의 핵심 단서는 회수됐다.,"{""tone"":""steady""}"
crt_m8a_common_explore_success_02,common,quest_type,,explore,success,detail,normal,90,{ally.name}이 후방 표식을 다시 확인한 덕분에 길을 잃지 않았다.,"{""tone"":""support""}"
crt_m8a_common_explore_failure_01,common,quest_type,,explore,failure,summary,normal,100,{region.name}의 지형은 예상보다 거칠었고 용병단은 목표를 끝까지 확인하지 못했다.,"{""tone"":""dry""}"
crt_m8a_common_explore_failure_02,common,quest_type,,explore,failure,detail,normal,90,남은 표식은 비에 지워졌고 보고서에는 확인 불가 항목이 늘었다.,"{""tone"":""loss""}"
crt_m8a_common_explore_critical_01,common,quest_type,,explore,critical_failure,summary,normal,100,수색선이 무너진 뒤 후퇴 신호가 늦었고 {quest.name}은 미완 기록으로 남았다.,"{""tone"":""severe""}"
crt_m8a_common_escort_great_01,common,quest_type,,escort,great_success,summary,normal,100,{merc.name}이 선두를 안정시켰고 호송 물자는 한 상자도 잃지 않았다.,"{""tone"":""clean"",""role"":""protagonist""}"
crt_m8a_common_escort_success_01,common,quest_type,,escort,success,summary,normal,100,길은 흔들렸지만 수레는 목적지에 닿았고 계약은 지켜졌다.,"{""tone"":""steady""}"
crt_m8a_common_escort_success_02,common,quest_type,,escort,success,detail,normal,90,{ally.name}이 마지막 굽잇길을 지키며 추격을 끊었다.,"{""tone"":""support""}"
crt_m8a_common_escort_failure_01,common,quest_type,,escort,failure,summary,normal,100,호송대는 흩어졌고 일부 물자는 {region.name}의 길 위에 남았다.,"{""tone"":""dry""}"
crt_m8a_common_escort_failure_02,common,quest_type,,escort,failure,detail,normal,90,계약서에는 회수한 포대보다 잃어버린 포대가 먼저 적혔다.,"{""tone"":""loss""}"
crt_m8a_common_escort_critical_01,common,quest_type,,escort,critical_failure,summary,normal,100,호송선이 붕괴했고 용병단은 계약보다 생존을 먼저 골라야 했다.,"{""tone"":""severe""}"
crt_m8a_common_hunt_great_01,common,quest_type,,hunt,great_success,summary,normal,100,{merc.name}의 첫 돌파가 먹혔고 {enemy.name}은 반격할 틈을 얻지 못했다.,"{""tone"":""decisive"",""role"":""protagonist""}"
