id,chain_id,chain_name,step,total_steps,region_id,target_region_id,target_sector_id,name,description,quest_type_id,difficulty,combat_power,reward_gold,reward_xp,reward_items,final_reward,final_reputation_bonus,duration_seconds,next_step_delay_seconds,faction_tag_id
chain_roadside_shrine_step1,chain_roadside_shrine,길가의 폐사당,1,2,,,,폐사당 입구,{region.name}의 폐사당 입구가 오랜 먼지에 덮여 있다. 용병 하나가 문고리에 새겨진 문양을 알아본다.,explore,2,25,150,0,{},false,,168,600,
chain_roadside_shrine_step2,chain_roadside_shrine,길가의 폐사당,2,2,,,,옛 수호자의 방,"사당 깊은 곳, 옛 수호자의 뼈가 여전히 투구를 쓴 채 앉아 있다. {merc.name}은 예를 갖춰 투구를 건네받는다.",hunt,3,47,400,0,"{""equip_helmet_iron_helm"":1}",true,300,336,0,
chain_windrunner_trail_step1,chain_windrunner_trail,질풍의 발자취,1,3,,,,질풍의 자취,바람을 닮은 발자국. 누군가가 이 길을 질주했다. {merc.job}의 눈이 흔적을 읽는다.,explore,2,35,150,40,{},false,,168,1800,
chain_windrunner_trail_step2,chain_windrunner_trail,질풍의 발자취,2,3,,,,상단 호위와 단서,그의 자취가 {region.name}으로 이어진다. {merc.name}은 상단 호위를 맡으며 단서를 좇는다.,escort,3,57,250,60,{},false,,210,2700,
chain_windrunner_trail_step3,chain_windrunner_trail,질풍의 발자취,3,3,,,,질풍의 주인,북방 산지에서 질풍의 주인을 만났다. 그는 {merc.name}에게 자신의 부츠를 벗어 넘겼다. [pick 빠름은 이어진다|바람은 다음 주인을 고른다].,hunt,4,80,400,0,"{""equip_boots_gale_leather"":1}",true,540,384,0,
chain_ironbound_pact_step1,chain_ironbound_pact,철갑의 서약,1,3,,,,탄 서약서,무너진 성채의 기록관. 낡은 서약서가 반쯤 탄 채 남았다. {merc.name}은 종이 끝의 인장을 눈여겨 본다.,hunt,3,62,250,0,{},false,,336,2700,faction_sun_order
chain_ironbound_pact_step2,chain_ironbound_pact,철갑의 서약,2,3,,,,증언자 호송,서약을 증언할 생존자를 찾아 호위한다. [if joined_faction:faction_sun_order]태양 교단의 문장을 본 그는 경계를 푼다.[else]방랑자는 처음엔 의심의 눈초리다.[/if],escort,3,67,300,0,{},false,,315,3600,faction_sun_order
chain_ironbound_pact_step3,chain_ironbound_pact,철갑의 서약,3,3,,,,서약의 계승,서약을 깨뜨린 자들이 성채에 진을 쳤다. {merc.name}이 이끄는 용병단이 서약의 계승자가 된다.,hunt,4,97,500,0,"{""equip_armor_chain_mail"":1}",true,540,384,0,faction_sun_order
chain_blade_of_border_step1,chain_blade_of_border,국경의 검,1,3,,,,부러진 검의 전장,{region.name}의 국경 전장. 부러진 검들이 녹슨 채 꽂혀 있다. {merc.name}은 하나하나를 살핀다.,raid,3,70,280,0,{},false,,252,3600,faction_warriors_guild
chain_blade_of_border_step2,chain_blade_of_border,국경의 검,2,3,,,,검의 옛 주인,그 검의 소유자는 지금도 이름이 남은 자였다. [pick 그의 영토로 간다|그의 이름을 따라간다|흔적을 잇는다].,hunt,4,97,450,80,{},false,,384,5400,faction_warriors_guild
chain_blade_of_border_step3,chain_blade_of_border,국경의 검,3,3,,,,새 주인,검의 주인은 이미 없다. 그러나 그의 검은 새 주인을 기다렸다. {merc.name}은 그 검을 든다.,hunt,5,135,700,0,"{""equip_weapon_steel_sword"":1}",true,540,432,0,faction_warriors_guild
chain_merchant_ledger_step1,chain_merchant_ledger,상인의 비망록,1,4,,,,찢긴 장부,대상 흔적이 끊긴 자리에 찢긴 장부 한 장. 숫자 뒤에 비밀이 있다. {merc.name}은 종이를 조심스레 접는다.,explore,3,75,250,0,{},false,,294,3600,faction_merchants_alliance
chain_merchant_ledger_step2,chain_merchant_ledger,상인의 비망록,2,4,,,,이름을 좇아,장부의 이름을 찾아 상단 한 곳에 호위 의뢰를 받는다. [if joined_faction:faction_merchants_alliance]연합의 문장이 길을 터준다.[else]장부의 이름은 처음 들어본다는 듯 경계한다.[/if],escort,3,85,350,0,{},false,,315,7200,faction_merchants_alliance
chain_merchant_ledger_step3,chain_merchant_ledger,상인의 비망록,3,4,,,,산길 너머 거점,장부의 비밀은 산길 너머에 있다. 대상로 도적의 거점에. {merc.name}은 검 자루를 고쳐 쥔다.,raid,4,115,500,0,{},false,,288,7200,faction_merchants_alliance
chain_merchant_ledger_step4,chain_merchant_ledger,상인의 비망록,4,4,,,,저울의 비망록,진짜 장부는 저울의 받침대 안에 있었다. 상단의 신용이 {merc.name}의 용병단에 이전된다.,hunt,4,125,700,0,"{""guild_artifact_golden_scale"":1}",true,720,384,0,faction_merchants_alliance
chain_forge_masters_step1,chain_forge_masters,장인의 유산,1,4,,,,폐쇄된 대장간,폐쇄된 대장간. 바닥에 새겨진 낙인이 은빛으로 반짝인다. {merc.name}은 낙인의 문양을 외운다.,explore,4,102,400,0,{},false,,392,5400,faction_deep_hammer
