id,name,type,difficulty,min_region_diff,max_region_diff,type_id,faction_tag,is_faction_exclusive,min_reputation,sector_type,is_named,named_hook_type,named_hook_value,named_cooldown_hours,special_flags,region_state_required,region_state_excluded,reward_gold_override,reward_xp_bonus_override,duration_override_seconds,trust_reward_override,enemy_name
qp_m8a_adv_pyegwang_record_audit,폐광 기록 대조,4,2,0,1,explore,faction_adventurers_guild,false,1,ruins,true,region_flag,settlement_event_completed:settlement_3_pyegwang_reopen,18,"{""named_description"":""기록원 라우덴이 폐광 재개방 기록의 빈칸을 확인해 달라고 요청한다"",""named_reward_multiplier"":1.15,""named_reputation_multiplier"":1.0,""faction_named"":true,""combat_report"":true,""faction_reputation_success"":2,""faction_reputation_great_success"":3,""faction_reputation_critical_failure"":-1}",,region_3_threatened,,,,,
qp_m8a_adv_windrunner_field_notes,풍신 숲 길표본,4,3,1,2,explore,faction_adventurers_guild,false,11,forest,true,region_flag,region_10_windrunner_chain_completed,20,"{""named_description"":""풍신 숲의 바람길 표본을 수집해 길드 지도에 반영한다"",""named_reward_multiplier"":1.25,""named_reputation_multiplier"":1.1,""faction_named"":true,""combat_report"":true,""faction_reputation_success"":3,""faction_reputation_great_success"":4,""faction_reputation_critical_failure"":-1,""material_reward_hint"":""mat_herb_wind:success_30pct_great_1""}",region_10_windrunner_chain_completed,,,,,,
qp_m8a_adv_broken_fort_map,요새 지도 보정,4,4,2,3,explore,faction_adventurers_guild,false,31,ruins,true,region_flag,region_38_ironbound_pact_completed,24,"{""named_description"":""무너진 성벽과 도굴꾼 흔적을 대조해 부서진 요새 지도를 보정한다"",""named_reward_multiplier"":1.35,""named_reputation_multiplier"":1.2,""faction_named"":true,""combat_report"":true,""faction_reputation_success"":4,""faction_reputation_great_success"":6,""faction_reputation_critical_failure"":-2,""material_reward_hint"":""mat_relic_burnt_seal:great_1""}",region_38_ironbound_pact_completed,,,,,,도굴꾼 정찰조
qp_m8a_adv_missing_scout_trace,사라진 정찰대 흔적,2,3,1,3,hunt,faction_adventurers_guild,false,31,forest,true,achievement_count,3,24,"{""named_description"":""위업이 알려진 용병단에게 사라진 정찰대의 야간 흔적 수색을 맡긴다"",""named_reward_multiplier"":1.35,""named_reputation_multiplier"":1.2,""faction_named"":true,""combat_report"":true,""faction_reputation_success"":4,""faction_reputation_great_success"":6,""faction_reputation_critical_failure"":-2,""material_reward_hint"":""mat_herb_wind:success_30pct""}",,,,,,,늪지 추적자
qp_m8a_mer_nomad_coast_escort,변방 해안 첫 호송,3,2,1,2,escort,faction_merchants_alliance,false,1,coast,true,region_flag,region_127_nomad_friendly,18,"{""named_description"":""상인 연합이 유목민 천막까지 가는 첫 공식 호송을 의뢰한다"",""named_reward_multiplier"":1.15,""named_reputation_multiplier"":1.0,""faction_named"":true,""combat_report"":true,""faction_reputation_success"":2,""faction_reputation_great_success"":3,""faction_reputation_critical_failure"":-1,""material_reward_hint"":""mat_hide_nomad_strap:great_1""}",region_127_nomad_friendly,,,,,,
qp_m8a_mer_bandit_road_contract,도적길 거래로 확보,3,3,1,2,escort,faction_merchants_alliance,false,11,road,true,region_flag,region_31_bandits_cleared,20,"{""named_description"":""도적길의 임시 거래로를 열어 수레와 계약서를 함께 지킨다"",""named_reward_multiplier"":1.25,""named_reputation_multiplier"":1.1,""faction_named"":true,""combat_report"":true,""faction_reputation_success"":3,""faction_reputation_great_success"":4,""faction_reputation_critical_failure"":-1,""material_reward_hint"":""mat_herb_wildflower:success_1""}",region_31_bandits_cleared,,,,,,도적 잔당
qp_m8a_mer_foreign_stall_supply,외래 좌판 보급품,4,3,0,2,explore,faction_merchants_alliance,false,11,village,true,faction_contact,contact_merchants_kale_ledger,20,"{""named_description"":""케일의 좌판으로 들어올 보급품을 더스트빌 주변에서 회수한다"",""named_reward_multiplier"":1.25,""named_reputation_multiplier"":1.1,""faction_named"":true,""combat_report"":true,""faction_reputation_success"":3,""faction_reputation_great_success"":4,""faction_reputation_critical_failure"":-1,""material_reward_hint"":""mat_herb_seaweed:great_1""}",,,,,,,
qp_m8a_mer_sealed_coast_delivery,해안 특송 계약,3,4,2,3,escort,faction_merchants_alliance,false,31,coast,true,faction_reputation,faction_merchants_alliance>=31,24,"{""named_description"":""봉인된 상자를 밤길로 운반하는 상인 연합 신뢰 의뢰다"",""named_reward_multiplier"":1.35,""named_reputation_multiplier"":1.2,""faction_named"":true,""combat_report"":true,""faction_reputation_success"":4,""faction_reputation_great_success"":6,""faction_reputation_critical_failure"":-2,""material_reward_hint"":""mat_hide_nomad_strap:success_1_great_2""}",region_127_nomad_friendly,,,,,,해안 습격대
qp_m8a_war_forest_beast_proof,외곽 숲 강적 재검증,2,3,1,2,hunt,faction_warriors_guild,false,1,forest,true,region_flag,region_9_giant_beast_killed,18,"{""named_description"":""붉은 창의 벨란이 외곽 숲 강적 처치 기록을 다시 증명하라고 요구한다"",""named_reward_multiplier"":1.25,""named_reputation_multiplier"":1.1,""faction_named"":true,""combat_report"":true,""faction_reputation_success"":3,""faction_reputation_great_success"":4,""faction_reputation_critical_failure"":-1,""material_reward_hint"":""mat_monster_beast_fang:success_40pct_great_1""}",region_9_giant_beast_killed,,,,,,거대 숲짐승
qp_m8a_war_fort_duel_ground,요새 결투장 정리,1,4,2,3,raid,faction_warriors_guild,false,11,ruins,true,region_flag,region_38_ironbound_pact_completed,20,"{""named_description"":""부서진 요새 안쪽 결투장을 점거한 도굴꾼 무리를 밀어낸다"",""named_reward_multiplier"":1.35,""named_reputation_multiplier"":1.2,""faction_named"":true,""combat_report"":true,""faction_reputation_success"":4,""faction_reputation_great_success"":6,""faction_reputation_critical_failure"":-2,""material_reward_hint"":""mat_relic_burnt_seal:success_30pct_great_1""}",region_38_ironbound_pact_completed,,,,,,도굴꾼 결투병
