record_id,record_type,faction_id,contact_id,contact_name,npc_name,trigger_type,trigger_value,relation_stage,weight,text,tags_json
contact_m8a_adventurers_dustvile_records,contact,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,infrastructureTier,region_3>=2,noticed,100,폐광을 다시 연 용병단이라면 길드 장부 한 칸쯤은 내줄 수 있겠군.,"{""tone"":""record"",""region"":3}"
contact_m8a_merchants_kale_ledger,contact,faction_merchants_alliance,contact_merchants_kale_ledger,케일의 거래 장부,외래 상인 케일,infrastructureTier,region_3>=3,noticed,100,더스트빌 길이 안전해졌다면 이제 장부에 더 큰 이름을 올릴 때입니다.,"{""tone"":""contract"",""region"":3}"
contact_m8a_warriors_broken_fort_mark,contact,faction_warriors_guild,contact_warriors_broken_fort_mark,부서진 요새 결투 표식,붉은 창의 벨란,achievement,elite_unique_first_kill:*,noticed,100,짐승을 쓰러뜨린 이름은 들었다. 요새의 돌벽 앞에서도 그 이름이 통하는지 보자.,"{""tone"":""trial"",""region"":38}"
reaction_m8a_adv_arrival_01,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,achievement,settlement_event_completed:settlement_3_pyegwang_reopen,noticed,80,폐광 재개방 기록은 이미 세 번이나 필사됐네. 이제 원본을 확인할 차례야.,"{""mood"":""arrival"",""tag"":""mine""}"
reaction_m8a_adv_arrival_02,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,region_flag,region_10_windrunner_chain_completed,noticed,70,풍신 숲의 길표본이 맞다면 장부보다 지도가 먼저 고쳐져야 하겠군.,"{""mood"":""arrival"",""tag"":""forest""}"
reaction_m8a_adv_arrival_03,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,region_flag,region_38_ironbound_pact_completed,noticed,70,부서진 요새는 소문보다 지형이 먼저 무너지는 곳이지. 네 기록이 필요하네.,"{""mood"":""arrival"",""tag"":""fort""}"
reaction_m8a_adv_patronage_01,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,faction_reputation,1..10,patronage,80,후원은 가입과 다르네. 이번에는 길드 이름 대신 네 발자국을 빌리겠네.,"{""mood"":""patronage"",""tag"":""guild""}"
reaction_m8a_adv_patronage_02,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,faction_reputation,1..10,patronage,70,지도는 빈칸을 싫어하지. 용병단은 빈칸을 잘 찾아내더군.,"{""mood"":""patronage"",""tag"":""map""}"
reaction_m8a_adv_joined_01,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,faction_joined,true,joined,80,이제 길드 장부에는 네 이름 옆에 검은 잉크가 아니라 인장이 찍히네.,"{""mood"":""joined"",""tag"":""seal""}"
reaction_m8a_adv_trust_01,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,faction_reputation,31..60,trusted,70,믿을 만한 기록은 칼보다 오래 남네. 이번 의뢰도 그렇게 남겨 보게.,"{""mood"":""trusted"",""tag"":""record""}"
reaction_m8a_adv_core_01,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,faction_reputation,61..100,core,60,이제 기록원들이 더스트빌을 지도 가장자리가 아니라 기준점으로 부르기 시작했네.,"{""mood"":""core"",""tag"":""renown""}"
reaction_m8a_adv_conflict_01,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,conflict_hint,faction_thieves_guild,conflict,50,도둑 길드는 빈 장부를 좋아하지. 우리는 지워진 줄을 다시 쓰는 쪽이고.,"{""mood"":""conflict"",""tag"":""thieves""}"
reaction_m8a_adv_hostile_01,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,faction_reputation,<0,hostile,60,기록은 편을 들지 않지만 거짓 이름은 보관하지 않네.,"{""mood"":""hostile"",""tag"":""reputation""}"
reaction_m8a_adv_report_01,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,combat_report,created,any,60,전투 보고서는 승패보다 누가 무엇을 보았는지 남기는 장부라네.,"{""mood"":""report"",""tag"":""combat_report""}"
