id,group,scope,faction_id,quest_type,result_type,line_type,importance,weight,template,tags_json
crt_m8b_chain_great_03,m8b_chain,chain_final,,,great_success,detail,veryHigh,100,"적이 마지막 진형을 다시 짤 시간을 주지 않았다. 모든 표식이 그 자리에서 닫혔다.","{""position"":""resolution""}"
crt_m8b_chain_success_03,m8b_chain,chain_final,,,success,detail,veryHigh,100,"끝을 본 자리에는 손실 보고서가 짧게 남았지만 사건은 매듭이 되었다.","{""position"":""aftermath""}"
crt_m8b_chain_failure_03,m8b_chain,chain_final,,,failure,detail,veryHigh,100,"마지막 한 걸음이 모자랐고 다음 단서는 아직 어두운 곳에 머무른다.","{""position"":""resolution""}"
crt_m8b_chain_critical_03,m8b_chain,chain_final,,,critical_failure,detail,veryHigh,100,"전열이 갈라진 자리에 후일담 대신 명단이 길게 늘어났다.","{""position"":""crisis"",""decisive_keyword_key"":""formation_split""}"
crt_m8b_chstep_great_02,m8b_chain,chain_step,,,great_success,summary,high,100,"진행 단계의 흐름이 매끄럽게 다음 표식으로 넘어갔다.","{}"
crt_m8b_chstep_success_02,m8b_chain,chain_step,,,success,summary,high,100,"한 단계가 닫혔고 다음 줄거리는 곧 모습을 드러낼 예정이다.","{}"
crt_m8b_chstep_failure_02,m8b_chain,chain_step,,,failure,summary,high,100,"단서는 끊어졌지만 사건의 무게는 더 무거워졌다.","{}"
crt_m8b_chstep_critical_02,m8b_chain,chain_step,,,critical_failure,summary,high,100,"잘못 짚은 길이 길어졌고 일행은 같은 자리로 돌아갔다.","{}"
crt_m8b_elite_great_03,m8b_elite,elite,,,great_success,summary,high,100,"강적은 두 번째 숨을 고르기 전에 무릎을 꿇었다.","{}"
crt_m8b_elite_success_03,m8b_elite,elite,,,success,summary,high,100,"강적은 무거운 흔적을 남기고 쓰러졌다.","{}"
crt_m8b_elite_failure_03,m8b_elite,elite,,,failure,summary,high,100,"강적은 추적을 떨쳐내고 어둠 속으로 사라졌다.","{}"
crt_m8b_elite_critical_03,m8b_elite,elite,,,critical_failure,summary,high,100,"강적이 전열을 무너뜨렸고 무리는 후퇴 신호를 늦게 잡았다.","{}"
crt_m8b_elite_great_04,m8b_elite,elite,,,great_success,detail,high,95,"{enemy.name}의 첫 돌진이 멈춘 자리에서 {merc.name}의 반격이 끝을 보았다.","{""position"":""resolution"",""decisive_keyword_key"":""enemy_weakness_seen""}"
crt_m8b_elite_success_04,m8b_elite,elite,,,success,detail,high,95,"{enemy.name}은 마지막 일격을 흘려보내며 쓰러졌다.","{""position"":""resolution""}"
crt_m8b_elite_failure_04,m8b_elite,elite,,,failure,detail,high,95,"{enemy.name}의 두 번째 돌진이 전열을 흔들고 추적은 끊겼다.","{""position"":""crisis""}"
crt_m8b_elite_critical_04,m8b_elite,elite,,,critical_failure,detail,high,95,"{merc.name}이 무릎이 꺾였고 {enemy.name}은 빈틈을 놓치지 않았다.","{""position"":""crisis"",""decisive_keyword_key"":""knee_gave_way""}"
